ページタイトル,施設ジャンル,施設、場所、イベントの名称（読み）,郵便番号,住所,ビル名,フロア数,緯度,経度
新宿小学校,非常用井戸等,シンジュクショウガッコウ,,千葉県千葉市中央区新宿2－15－1,,,35.607909,140.114303
本町小学校,非常用井戸等,ホンチョウショウガッコウ,,千葉県千葉市中央区本町2－6－23,,,35.60932,140.128119
寒川小学校,非常用井戸等,サムガワショウガッコウ,,千葉県千葉市中央区寒川町1－205,,,35.597317,140.121804
院内小学校,非常用井戸等,インナイショウガッコウ,,千葉県千葉市中央区祐光1－25－3,,,35.615512,140.125796
蘇我小学校,非常用井戸等,ソガショウガッコウ,,千葉県千葉市中央区今井3－15－32,,,35.578211,140.131263
都小学校,非常用井戸等,ミヤコショウガッコウ,,千葉県千葉市中央区都町1129,,,35.612507,140.144835
松ヶ丘小学校,非常用井戸等,マツガオカショウガッコウ,,千葉県千葉市中央区松ヶ丘町580,,,35.586438,140.155405
川戸小学校,非常用井戸等,カワドショウガッコウ,,千葉県千葉市中央区川戸町450,,,35.584782,140.167967
星久喜小学校,非常用井戸等,ホシクキショウガッコウ,,千葉県千葉市中央区星久喜町1060,,,35.596806,140.146688
生浜西小学校,非常用井戸等,オイハマニシショウガッコウ,,千葉県千葉市中央区塩田町316－1,,,35.558963,140.131289
検見川小学校,非常用井戸等,ケミガワショウガッコウ,,千葉県千葉市花見川区検見川町3－322－23,,,35.648881,140.068613
幕張小学校,非常用井戸等,マクハリショウガッコウ,,千葉県千葉市花見川区幕張町4－781,,,35.661884,140.053739
犢橋小学校,非常用井戸等,コテハシショウガッコウ,,千葉県千葉市花見川区犢橋町774,,,35.67297,140.108168
横戸小学校,非常用井戸等,ヨコドショウガッコウ,,千葉県千葉市花見川区横戸町1005,,,35.696165,140.120359
長作小学校,非常用井戸等,ナガサクショウガッコウ,,千葉県千葉市花見川区長作町1273,,,35.684214,140.073743
花見川第二小学校,非常用井戸等,ハナミガワダイニショウガッコウ,,千葉県千葉市花見川区花見川6－1,,,35.688791,140.101329
花見川第三小学校,非常用井戸等,ハナミガワダイサンショウガッコウ,,千葉県千葉市花見川区花見川1－1,,,35.685277,140.088844
さつきが丘東小学校,非常用井戸等,サツキガオカヒガシショウガッコウ,,千葉県千葉市花見川区さつきが丘1－7,,,35.663923,140.099185
上の台小学校,非常用井戸等,ウエノダイショウガッコウ,,千葉県千葉市花見川区幕張本郷4－8－1,,,35.668121,140.050455
朝日ヶ丘小学校,非常用井戸等,アサヒガオカショウガッコウ,,千葉県千葉市花見川区朝日ヶ丘2－6－1,,,35.659229,140.085505
宇那谷第一緑地,非常用井戸等,ウナヤダイイチリョクチ,,千葉県千葉市花見川区み春野2－2107－4,,,35.692272,140.139945
都賀小学校,非常用井戸等,ツガショウガッコウ,,千葉県千葉市稲毛区作草部町938,,,35.629152,140.120068
園生小学校,非常用井戸等,ソンノウショウガッコウ,,千葉県千葉市稲毛区小仲台9－30－1,,,35.647279,140.097899
稲丘小学校,非常用井戸等,イナオカショウガッコウ,,千葉県千葉市稲毛区稲丘町19－30,,,35.632606,140.088013
弥生小学校,非常用井戸等,ヤヨイショウガッコウ,,千葉県千葉市稲毛区弥生町3－18,,,35.625803,140.101136
緑町小学校,非常用井戸等,ミドリマチショウガッコウ,,千葉県千葉市稲毛区緑町2－13－1,,,35.623442,140.097753
山王小学校,非常用井戸等,サンノウショウガッコウ,,千葉県千葉市稲毛区山王町121,,,35.665341,140.142685
千草台小学校,非常用井戸等,チグサダイショウガッコウ,,千葉県千葉市稲毛区天台5－11－1,,,35.638225,140.116007
宮野木小学校,非常用井戸等,ミヤノギショウガッコウ,,千葉県千葉市稲毛区宮野木町2100,,,35.658964,140.109734
草野小学校,非常用井戸等,クサノショウガッコウ,,千葉県千葉市稲毛区園生町1385,,,35.65317,140.125533
若松小学校,非常用井戸等,ワカマツショウガッコウ,,千葉県千葉市若葉区若松町360－1,,,35.640785,140.16792
白井小学校,非常用井戸等,シライショウガッコウ,,千葉県千葉市若葉区野呂町215,,,35.580907,140.230974
更科小学校,非常用井戸等,サラシナショウガッコウ,,千葉県千葉市若葉区更科町2073,,,35.619293,140.228021
大宮小学校,非常用井戸等,オオミヤショウガッコウ,,千葉県千葉市若葉区大宮台7－8－1,,,35.596181,140.182235
桜木小学校,非常用井戸等,サクラギショウガッコウ,,千葉県千葉市若葉区桜木3－26－1,,,35.621105,140.159517
千城台北小学校,非常用井戸等,チシロダイキタショウガッコウ,,千葉県千葉市若葉区千城台北1－4－1,,,35.628698,140.18372
千城台南小学校,非常用井戸等,チシロダイミナミショウガッコウ,,千葉県千葉市若葉区千城台南1－19－1,,,35.618273,140.189326
みつわ台南小学校,非常用井戸等,ミツワダイミナミショウガッコウ,,千葉県千葉市若葉区みつわ台1－17－1,,,35.634603,140.130816
誉田小学校,非常用井戸等,ホンダショウガッコウ,,千葉県千葉市緑区誉田町1－27,,,35.549554,140.204475
土気小学校,非常用井戸等,トケショウガッコウ,,千葉県千葉市緑区土気町1634－2,,,35.531626,140.273411
越智小学校,非常用井戸等,オチショウガッコウ,,千葉県千葉市緑区越智町705－359,,,35.532181,140.237031
泉谷小学校,非常用井戸等,イズミヤショウガッコウ,,千葉県千葉市緑区おゆみ野中央4－3,,,35.554272,140.17359
土気南小学校,非常用井戸等,トケミナミショウガッコウ,,千葉県千葉市緑区あすみが丘4－16,,,35.523073,140.265018
大椎小学校,非常用井戸等,オオジショウガッコウ,,千葉県千葉市緑区あすみが丘6－38,,,35.514374,140.26234
有吉小学校,非常用井戸等,アリヨシショウガッコウ,,千葉県千葉市緑区おゆみ野1－53,,,35.56129,140.166093
おゆみ野南小学校,非常用井戸等,オユミノミナミショウガッコウ,,千葉県千葉市緑区おゆみ野南4－26,,,35.5443978,140.168043
幕張西小学校,非常用井戸等,マクハリニシショウガッコウ,,千葉県千葉市美浜区幕張西2－8－1,,,35.664865,140.038036
幸町第三小学校,非常用井戸等,サイワイチョウダイサンショウガッコウ,,千葉県千葉市美浜区幸町1－10－1,,,35.61127,140.099009
旧幸町第四小学校（工事中）,非常用井戸等,キュウサイワイチョウダイヨンショウガッコウ,,千葉県千葉市美浜区幸町2－12－12,,,35.621654,140.090536
高洲第三小学校,非常用井戸等,タカスダイサンショウガッコウ,,千葉県千葉市美浜区高洲3－3－11,,,35.626726,140.074168
真砂第五小学校,非常用井戸等,マサゴダイゴショウガッコウ,,千葉県千葉市美浜区真砂1－12－15,,,35.632619,140.069148
高浜第一小学校,非常用井戸等,タカハマダイイチショウガッコウ,,千葉県千葉市美浜区高浜1－4－1,,,35.61987,140.075894
